Id,FromAddress,ToAddress,Speed,Type,PermitDirection
01001,10001,10002,0,Horizontal,Forward
01002,10002,10003,0,Horizontal,Forward
01003,10003,10004,0,Horizontal,Forward
01004,10004,10005,0,Horizontal,Forward
01005,10005,10006,0,Horizontal,Forward
01006,10006,10007,0,Horizontal,Forward
01007,10007,10008,0,Horizontal,Forward
01008,10008,10009,0,Horizontal,Forward
01009,10009,10010,0,Horizontal,Forward
01010,10010,10011,0,Horizontal,Forward
01011,10011,10012,0,Horizontal,Forward
01012,10012,10013,0,Horizontal,Forward
01013,10013,10014,0,Horizontal,Forward
01014,10014,10015,0,Horizontal,Forward
01015,10015,10016,0,Horizontal,Forward
01016,10016,10017,0,Horizontal,Forward
01017,10017,10018,0,Horizontal,Forward
01018,10018,10019,0,Horizontal,Forward
01019,10019,10020,0,Horizontal,Forward
01020,10020,10021,0,Horizontal,Forward
01021,10021,10022,0,Horizontal,Forward
01022,10022,10023,0,Horizontal,Forward
01023,10023,10024,0,Horizontal,Forward
01024,10024,10025,0,Horizontal,Forward
01025,10025,10026,0,Horizontal,Forward
01026,10026,10027,0,Horizontal,Forward
01027,10027,10028,0,Horizontal,Forward
01028,10028,10029,0,Horizontal,Forward
01029,10029,10030,0,Horizontal,Forward
01030,10030,10031,0,Horizontal,Forward
01031,10031,10032,0,Horizontal,Forward
01032,10032,10033,0,Horizontal,Forward
01033,10033,10034,0,Horizontal,Forward
01034,10034,10035,0,Horizontal,Forward
01035,10035,10036,0,Horizontal,Forward
01036,10036,10037,0,Horizontal,Forward
01037,10037,10038,0,Horizontal,Forward
01038,10038,10039,0,Horizontal,Forward
01039,10039,10001,0,Horizontal,Forward
