Id,Barcode,X,Y,isStation
10000,3793,1517,0,1
10001,4949,2663,0,1
10002,6048,3772,0,1
10003,20383,18107,0,1
10004,21583,19307,0,1
10005,36802,34526,0,0
10006,39538,34526,2606,0
10007,42526,34526,5211,0
10008,42627,34425,5211,1
10009,43135,33918,5211,1
10010,47045,30007,5211,1
10011,48090,28963,5211,1
10012,50127,26926,5211,1
10013,50631,26422,5211,1
10014,54543,22510,5211,1
10015,55049,22004,5211,1
10016,57384,19669,5211,1
10017,57885,19168,5211,1
10018,61942,15111,5211,1
10019,62477,14576,5211,1
10020,999999,13508,5211,0
10021,65890,13508,7280,0
10022,91071,13508,32460,1
10023,92267,13508,33657,1
10024,94279,13508,35670,1
10025,94881,13508,36271,1
10026,95380,13508,36770,0
10027,97611,11528,36770,0
10028,99874,9548,36770,0
10029,121617,9548,15027,1
10030,122941,9548,13703,1
10031,129030,9548,7614,0
10032,999998,9548,5211,0
10033,133189,8513,5211,0
10034,136731,4971,5211,1
10035,137787,3915,5211,1
10036,140368,1334,5211,0
10037,744,0,1334,2606,0
10038,3610,1334,0,0
