StationID,Barcode,X,Y,GrabOffsetY,GrabOffsetT,GrabZ,GrabAreaSNRActiveRangeZ,StationType,Handshaking,Note,HandoffsAddress,HandoffsChannel,HandoffsCS,AddressID,PIOAcc
OHT302A01,3793,1517,0,35,0,2393,0,Down,True,,302001,131,1,10000,1
OHT302T01,4949,2663,0,31,0,645,0,Down,True,,302101,166,1,10001,0
OHT302T02,6048,3772,0,31,0,645,0,Down,True,,302102,179,1,10002,0
OHT302T03,20383,18107,0,31,0,645,0,Down,True,,302103,166,1,10003,0
OHT302T04,21583,19307,0,31,0,645,0,Down,True,,302104,179,1,10004,0
CCY306P4,42627,34425,5211,10,0,40,0,Down,True,,302201,197,1,10008,0
CCY306P3,43135,33918,5211,10,0,40,0,Down,True,,302202,185,1,10009,0
CCY305P4,47045,30007,5211,10,0,40,0,Down,True,,302203,255,1,10010,0
CCY305P3,48090,28963,5211,10,0,40,0,Down,True,,302204,131,1,10011,0
CCY304P4,50127,26926,5211,10,0,40,0,Down,True,,302205,197,1,10012,0
CCY304P3,50631,26422,5211,10,0,40,0,Down,True,,302206,185,1,10013,0
CCY303P4,54543,22510,5211,10,0,40,0,Down,True,,302207,255,1,10014,0
CCY303P3,55049,22004,5211,10,0,40,0,Down,True,,302208,131,1,10015,0
CCY302P4,57384,19669,5211,4,0,2390,0,Down,False,,302209,197,1,10016,0
CCY302P3,57885,19168,5211,4,0,2390,0,Down,False,,302210,185,1,10017,0
CCY301P4,61942,15111,5211,10,0,40,0,Down,True,,302211,255,1,10018,0
CCY301P3,62477,14576,5211,10,0,40,0,Down,True,,302212,131,1,10019,0
OHT302T05,91071,13508,32460,120,0,655,0,Down,False,,302105,166,1,10022,0
OHT302T06,92267,13508,33657,120,0,660,0,Down,False,,302106,179,1,10023,0
OHT302T07,94279,13508,35670,15,0,2390,0,Down,True,,302107,131,1,10024,0
OHT302T08,94881,13508,36271,15,0,2395,0,Down,True,,302108,255,1,10025,0
FCL302P2,121617,9548,15027,10,0,56,0,Down,True,,302213,197,1,10029,0
FCL302P1,122941,9548,13703,10,0,56,0,Down,True,,302214,185,1,10030,0
FCL301P2,136731,4971,5211,10,0,56,0,Down,True,,302215,255,1,10034,0
FCL301P1,137787,3915,5211,10,0,56,0,Down,True,,302216,131,1,10035,0
